"CAPE","Date"
"10.745733299748","18264"
"10.911564066732","18295"
"10.910946522976","18323"
"11.178021600956","18354"
"11.461543104586","18384"
"11.554126144044","18415"
"10.539745658931","18445"
"11.040611670262","18476"
"11.337391102277","18507"
"11.662444039105","18537"
"11.542173388716","18568"
"11.306665788891","18598"
"11.895759839437","18629"
"12.141507370683","18660"
"11.841626487283","18688"
"11.951097197084","18719"
"11.863875406269","18749"
"11.615664857025","18780"
"11.778190092458","18810"
"12.256989084145","18841"
"12.44495315715","18872"
"12.309457904119","18902"
"11.852030617771","18933"
"12.147072568107","18963"
"12.527059748172","18994"
"12.364119350461","19025"
"12.36233908739","19054"
"12.242728683267","19085"
"12.200478761946","19115"
"12.447881581789","19146"
"12.669112889622","19176"
"12.678378236329","19207"
"12.434678020426","19238"
"12.131183558687","19268"
"12.473469765515","19299"
"12.933964306161","19329"
"13.010773447995","19360"
"12.859346880688","19391"
"12.834819340092","19419"
"12.163901454007","19450"
"12.141970791868","19480"
"11.62440788547","19511"
"11.75020164531","19541"
"11.715076201734","19572"
"11.139349357263","19603"
"11.391934765421","19633"
"11.644070268506","19664"
"11.754449184027","19694"
"12.002650554928","19725"
"12.215052485433","19756"
"12.42010529519","19784"
"12.907868184061","19815"
"13.312042238026","19845"
"13.357885903659","19876"
"13.833009564245","19906"
"14.042112347321","19937"
"14.356474143297","19968"
"14.619231935731","19998"
"15.117311697434","20029"
"15.789062002327","20059"
"15.99078106297","20090"
"16.437728215987","20121"
"16.219282945538","20149"
"16.685266628064","20180"
"16.518057827258","20210"
"17.370091963405","20241"
"18.454031906633","20271"
"18.222326463048","20302"
"18.843960654261","20333"
"17.772325789386","20363"
"18.835559288274","20394"
"18.942369035814","20424"
"18.292585385419","20455"
"18.266116815128","20486"
"19.3712100993","20515"
"19.370593634579","20546"
"18.544506591754","20576"
"18.158163846959","20607"
"18.856797596897","20637"
"18.670937110186","20668"
"17.836640796312","20699"
"17.418952948636","20729"
"17.120339736628","20760"
"17.197522725561","20790"
"16.717780078533","20821"
"15.84373314223","20852"
"15.900417108869","20880"
"16.123704360212","20911"
"16.598110789114","20941"
"16.729918872473","20972"
"16.86888238398","21002"
"15.868942729452","21033"
"15.157274488962","21064"
"14.149451489484","21094"
"13.736242235298","21125"
"13.673246057951","21155"
"13.788431552308","21186"
"13.784906390338","21217"
"13.925589923893","21245"
"13.913501765263","21276"
"14.323824968409","21306"
"14.635555551956","21337"
"14.957457101901","21367"
"15.544566891166","21398"
"15.931923184093","21429"
"16.559803310352","21459"
"16.988883579386","21490"
"17.35835736537","21520"
"17.980339342993","21551"
"17.759169263611","21582"
"18.200871845486","21610"
"18.430753048783","21641"
"18.692721439594","21671"
"18.448591397066","21702"
"19.090533975797","21732"
"18.95880364075","21763"
"18.123290556759","21794"
"18.021962441515","21824"
"18.07178913057","21855"
"18.6247289779","21885"
"18.338284994376","21916"
"17.545275108946","21947"
"17.286020720522","21976"
"17.429766947597","22007"
"17.256170578728","22037"
"17.823363817265","22068"
"17.376806472898","22098"
"17.582113039578","22129"
"17.052015467818","22160"
"16.605104536251","22190"
"17.146088452419","22221"
"17.562090833957","22251"
"18.470416986477","22282"
"19.234014498298","22313"
"19.844225272726","22341"
"20.382842975755","22372"
"20.598606843297","22402"
"20.332414551592","22433"
"20.146643736827","22463"
"20.941688475215","22494"
"20.705243044147","22525"
"20.924190141011","22555"
"21.85795772196","22586"
"22.041480198382","22616"
"21.197931400015","22647"
"21.451687754873","22678"
"21.443158568526","22706"
"20.658336447649","22737"
"19.089367498117","22767"
"16.827571244792","22798"
"17.141325661323","22828"
"17.571262631046","22859"
"17.321461147465","22890"
"16.739820967901","22920"
"17.854386489497","22951"
"18.58583611844","22981"
"19.259231693254","23012"
"19.469191309671","23043"
"19.288064606605","23071"
"20.150077238227","23102"
"20.507585864953","23132"
"20.384149993841","23163"
"19.96923188595","23193"
"20.472637900528","23224"
"20.960360090705","23255"
"20.891344595411","23285"
"20.72039933534","23316"
"21.038599376737","23346"
"21.627216196981","23377"
"21.83267082671","23408"
"22.167245585983","23437"
"22.422192169737","23468"
"22.574330769564","23498"
"22.300288036083","23529"
"22.984351845738","23559"
"22.650407292939","23590"
"22.892221984232","23621"
"23.212154680675","23651"
"23.225019793096","23682"
"22.752984772787","23712"
"23.269335081922","23743"
"23.372068272751","23774"
"23.253528200035","23802"
"23.420551954771","23833"
"23.708808308862","23863"
"22.385342986458","23894"
"22.300781712174","23924"
"22.665971845964","23955"
"23.374146831649","23986"
"23.775745523313","24016"
"23.925461156674","24047"
"23.694111549106","24077"
"24.058483388422","24108"
"23.700027145579","24139"
"22.61111258229","24167"
"23.113696462616","24198"
"21.852177976763","24228"
"21.555253383226","24259"
"21.381702007433","24289"
"19.91390386401","24320"
"19.161676250615","24351"
"18.825409371316","24381"
"19.711251211929","24412"
"19.736473752792","24442"
"20.432242125384","24473"
"21.074443163678","24504"
"21.443898602019","24532"
"21.686025566746","24563"
"21.948477389658","24593"
"21.552097609793","24624"
"21.804196245666","24654"
"22.030627049126","24685"
"22.219145488665","24716"
"22.068199194184","24746"
"21.263102968336","24777"
"21.751597808724","24807"
"21.511535896332","24838"
"20.424992376214","24869"
"19.934711308296","24898"
"21.277356015672","24929"
"21.63022714278","24959"
"22.004623431347","24990"
"21.753537415671","25020"
"21.137766793618","25051"
"21.680275633293","25082"
"22.004606927957","25112"
"22.195529227158","25143"
"22.277872995435","25173"
"21.194968072847","25204"
"20.895729901987","25235"
"20.202287616482","25263"
"20.428608081932","25294"
"20.972258271972","25324"
"19.713341583758","25355"
"18.681708207193","25385"
"18.429515590208","25416"
"18.398046344677","25447"
"18.448662031815","25477"
"18.437760084691","25508"
"17.326929913743","25538"
"17.09054139514","25569"
"16.37258678716","25600"
"16.531690813944","25628"
"15.873067819354","25659"
"13.983836060789","25689"
"13.799691797725","25720"
"13.72649974436","25750"
"14.100456516815","25781"
"14.842661145242","25812"
"15.06418540409","25842"
"14.950761908792","25873"
"15.873840687206","25903"
"16.461793943492","25934"
"17.034534781502","25965"
"17.402902607189","25993"
"17.92411044796","26024"
"17.564153279699","26054"
"17.083166880071","26085"
"16.889414708693","26115"
"16.519449443052","26146"
"16.856792547836","26177"
"16.428862709159","26207"
"15.638712654327","26238"
"16.603557212925","26268"
"17.262996797035","26299"
"17.464147605486","26330"
"17.805643849615","26359"
"17.915161678498","26390"
"17.662646200373","26420"
"17.64085731574","26451"
"17.398690031138","26481"
"17.94340468803","26512"
"17.613854552912","26543"
"17.533183854159","26573"
"18.338894714968","26604"
"18.645719442074","26634"
"18.712530467302","26665"
"17.889889599194","26696"
"17.41214205829","26724"
"16.935740066051","26755"
"16.314338759669","26785"
"15.808323047682","26816"
"15.889518573989","26846"
"15.278501094706","26877"
"15.475308601806","26908"
"15.913516308933","26938"
"14.651845159711","26969"
"13.493329686206","26999"
"13.530721892514","27030"
"12.957321280205","27061"
"13.31036423914","27089"
"12.550411048541","27120"
"11.99543694733","27150"
"11.888498820079","27181"
"10.394141805327","27211"
"9.8241957231412","27242"
